stage,metric,pack,layer,direction,position_group,mask_condition,scale,top_k,n,prompt_runs,main_rows,zeroing_rows,group_rows,mean,ci95_low,ci95_high,positive_frac,rank_mean
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,visual_span,shifted_mask,1.0,,96,96,,,,1.6246744791666667,1.1656901041666667,2.0817057291666665,0.6770833333333334,39.010416666666664
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,visual_span,shuffled_mask,1.0,,96,96,,,,1.4488932291666667,0.9713541666666666,1.943359375,0.65625,37.135416666666664
hidden_lattice,hidden_target_logit_effect,primary,0,corrupt,visual_span,union_mask,1.0,,96,96,,,,3.8573404947916665,3.1585286458333335,4.525960286458333,0.8854166666666666,483.53125
hidden_lattice,hidden_target_logit_effect,primary,0,restore,answer_adjacent,answer_mask,1.0,,96,96,,,,0.040771484375,-0.05126953125,0.1298828125,0.4895833333333333,-6.072916666666667
hidden_lattice,hidden_target_logit_effect,primary,0,restore,answer_adjacent,shifted_mask,1.0,,96,96,,,,0.0849609375,-0.0107421875,0.17805989583333334,0.5104166666666666,2.0104166666666665
hidden_lattice,hidden_target_logit_effect,primary,0,restore,answer_adjacent,shuffled_mask,1.0,,96,96,,,,-0.034830729166666664,-0.15071614583333334,0.06770833333333333,0.4270833333333333,-0.14583333333333334
hidden_lattice,hidden_target_logit_effect,primary,0,restore,answer_adjacent,union_mask,1.0,,96,96,,,,0.00042724609375,-0.0772705078125,0.07725016276041667,0.4270833333333333,-18.114583333333332
hidden_lattice,hidden_target_logit_effect,primary,0,restore,top_hidden_delta,answer_mask,1.0,,96,96,,,,3.6727294921875,3.0134684244791665,4.35009765625,0.8854166666666666,903.3333333333334
hidden_lattice,hidden_target_logit_effect,primary,0,restore,top_hidden_delta,shifted_mask,1.0,,96,96,,,,1.1481119791666667,0.7513020833333334,1.5882161458333333,0.6666666666666666,39.114583333333336
hidden_lattice,hidden_target_logit_effect,primary,0,restore,top_hidden_delta,shuffled_mask,1.0,,96,96,,,,1.1591796875,0.7890625,1.5660807291666667,0.7083333333333334,38.447916666666664
hidden_lattice,hidden_target_logit_effect,primary,0,restore,top_hidden_delta,union_mask,1.0,,96,96,,,,3.2750956217447915,2.620147705078125,3.9339497884114585,0.8854166666666666,565.6875
hidden_lattice,hidden_target_logit_effect,primary,0,restore,visual+answer,answer_mask,1.0,,96,96,,,,4.1961669921875,3.4290364583333335,4.939168294270833,0.8958333333333334,904.59375
hidden_lattice,hidden_target_logit_effect,primary,0,restore,visual+answer,shifted_mask,1.0,,96,96,,,,1.6162109375,1.1116536458333333,2.1383463541666665,0.65625,40.385416666666664
hidden_lattice,hidden_target_logit_effect,primary,0,restore,visual+answer,shuffled_mask,1.0,,96,96,,,,1.5074869791666667,1.0094401041666667,2.0319010416666665,0.6354166666666666,39.604166666666664
hidden_lattice,hidden_target_logit_effect,primary,0,restore,visual+answer,union_mask,1.0,,96,96,,,,3.8694966634114585,3.1390279134114585,4.578806559244792,0.8958333333333334,567.8958333333334
hidden_lattice,hidden_target_logit_effect,primary,0,restore,visual_span,answer_mask,1.0,,96,96,,,,4.222859700520833,3.469970703125,4.9716796875,0.8854166666666666,904.6979166666666
hidden_lattice,hidden_target_logit_effect,primary,0,restore,visual_span,shifted_mask,1.0,,96,96,,,,1.5940755208333333,1.1126302083333333,2.103515625,0.6875,40.375
hidden_lattice,hidden_target_logit_effect,primary,0,restore,visual_span,shuffled_mask,1.0,,96,96,,,,1.4586588541666667,0.9514973958333334,1.9899088541666667,0.6145833333333334,39.5
hidden_lattice,hidden_target_logit_effect,primary,0,restore,visual_span,union_mask,1.0,,96,96,,,,3.9280904134114585,3.181640625,4.606801350911458,0.8958333333333334,567.875
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,answer_adjacent,answer_mask,1.0,,96,96,,,,0.07552083333333333,-0.016927083333333332,0.1640625,0.5208333333333334,0.020833333333333332
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,answer_adjacent,shifted_mask,1.0,,96,96,,,,0.02734375,-0.07096354166666667,0.12890625,0.4479166666666667,-0.09375
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,answer_adjacent,shuffled_mask,1.0,,96,96,,,,0.038411458333333336,-0.06966145833333333,0.13346354166666666,0.53125,0.0
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,answer_adjacent,union_mask,1.0,,96,96,,,,-0.005208333333333333,-0.10872395833333333,0.09505208333333333,0.4479166666666667,0.0
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,top_hidden_delta,answer_mask,1.0,,96,96,,,,0.00390625,-0.169921875,0.18033854166666666,0.5,1.2083333333333333
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,top_hidden_delta,shifted_mask,1.0,,96,96,,,,-0.083984375,-0.19856770833333334,0.027994791666666668,0.3541666666666667,0.010416666666666666
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,top_hidden_delta,shuffled_mask,1.0,,96,96,,,,-0.05859375,-0.19010416666666666,0.078125,0.46875,-0.010416666666666666
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,top_hidden_delta,union_mask,1.0,,96,96,,,,-0.078125,-0.23372395833333334,0.08138020833333333,0.4479166666666667,0.22916666666666666
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,visual+answer,answer_mask,1.0,,96,96,,,,4.112955729166667,3.3896484375,4.806070963541667,0.875,829.3958333333334
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,visual+answer,shifted_mask,1.0,,96,96,,,,1.6100260416666667,1.1331380208333333,2.0947265625,0.6666666666666666,42.145833333333336
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,visual+answer,shuffled_mask,1.0,,96,96,,,,1.5068359375,1.0494791666666667,1.9830729166666667,0.7083333333333334,37.96875
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,visual+answer,union_mask,1.0,,96,96,,,,3.855926513671875,3.1731465657552085,4.531483968098958,0.8854166666666666,528.4479166666666
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,visual_span,answer_mask,1.0,,96,96,,,,4.16925048828125,3.4573567708333335,4.8671875,0.8958333333333334,798.9270833333334
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,visual_span,shifted_mask,1.0,,96,96,,,,1.57421875,1.1031901041666667,2.048828125,0.6458333333333334,39.666666666666664
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,visual_span,shuffled_mask,1.0,,96,96,,,,1.4697265625,1.00390625,1.9567057291666667,0.6770833333333334,38.21875
hidden_lattice,hidden_target_logit_effect,primary,1,corrupt,visual_span,union_mask,1.0,,96,96,,,,3.8557942708333335,3.173828125,4.52313232421875,0.9166666666666666,532.875
hidden_lattice,hidden_target_logit_effect,primary,1,restore,answer_adjacent,answer_mask,1.0,,96,96,,,,0.045654296875,-0.042561848958333336,0.13134765625,0.4791666666666667,43.0
hidden_lattice,hidden_target_logit_effect,primary,1,restore,answer_adjacent,shifted_mask,1.0,,96,96,,,,0.125,0.040690104166666664,0.20963541666666666,0.5208333333333334,0.8229166666666666
hidden_lattice,hidden_target_logit_effect,primary,1,restore,answer_adjacent,shuffled_mask,1.0,,96,96,,,,0.0087890625,-0.09049479166666667,0.11002604166666667,0.4791666666666667,-1.8333333333333333
hidden_lattice,hidden_target_logit_effect,primary,1,restore,answer_adjacent,union_mask,1.0,,96,96,,,,0.06598917643229167,-0.024169921875,0.164337158203125,0.4895833333333333,53.5625
hidden_lattice,hidden_target_logit_effect,primary,1,restore,top_hidden_delta,answer_mask,1.0,,96,96,,,,3.6323649088541665,2.9639892578125,4.307169596354167,0.8958333333333334,903.4270833333334
hidden_lattice,hidden_target_logit_effect,primary,1,restore,top_hidden_delta,shifted_mask,1.0,,96,96,,,,1.1025390625,0.7096354166666666,1.529296875,0.71875,38.864583333333336
hidden_lattice,hidden_target_logit_effect,primary,1,restore,top_hidden_delta,shuffled_mask,1.0,,96,96,,,,1.0458984375,0.6790364583333334,1.4488932291666667,0.6666666666666666,38.614583333333336
hidden_lattice,hidden_target_logit_effect,primary,1,restore,top_hidden_delta,union_mask,1.0,,96,96,,,,3.2858378092447915,2.6468404134114585,3.9369099934895835,0.9270833333333334,565.625
hidden_lattice,hidden_target_logit_effect,primary,1,restore,visual+answer,answer_mask,1.0,,96,96,,,,4.175333658854167,3.4264322916666665,4.935831705729167,0.8645833333333334,904.5208333333334
hidden_lattice,hidden_target_logit_effect,primary,1,restore,visual+answer,shifted_mask,1.0,,96,96,,,,1.5979817708333333,1.1048177083333333,2.0983072916666665,0.6666666666666666,40.364583333333336
hidden_lattice,hidden_target_logit_effect,primary,1,restore,visual+answer,shuffled_mask,1.0,,96,96,,,,1.4716796875,0.9661458333333334,1.9928385416666667,0.6770833333333334,39.6875
hidden_lattice,hidden_target_logit_effect,primary,1,restore,visual+answer,union_mask,1.0,,96,96,,,,3.952178955078125,3.2197265625,4.644887288411458,0.8854166666666666,567.7708333333334
hidden_lattice,hidden_target_logit_effect,primary,1,restore,visual_span,answer_mask,1.0,,96,96,,,,4.1981201171875,3.437255859375,4.943115234375,0.8854166666666666,904.7291666666666
hidden_lattice,hidden_target_logit_effect,primary,1,restore,visual_span,shifted_mask,1.0,,96,96,,,,1.6188151041666667,1.1461588541666667,2.109375,0.6979166666666666,40.364583333333336
hidden_lattice,hidden_target_logit_effect,primary,1,restore,visual_span,shuffled_mask,1.0,,96,96,,,,1.4046223958333333,0.9091796875,1.9397786458333333,0.6041666666666666,39.625
hidden_lattice,hidden_target_logit_effect,primary,1,restore,visual_span,union_mask,1.0,,96,96,,,,3.9098612467447915,3.1689453125,4.614349365234375,0.8854166666666666,567.84375
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,answer_adjacent,answer_mask,1.0,,96,96,,,,-0.2799479166666667,-0.4088541666666667,-0.150390625,0.28125,-0.15625
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,answer_adjacent,shifted_mask,1.0,,96,96,,,,-0.359375,-0.5006510416666666,-0.22916666666666666,0.23958333333333334,-0.23958333333333334
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,answer_adjacent,shuffled_mask,1.0,,96,96,,,,-0.28515625,-0.4108072916666667,-0.16015625,0.2708333333333333,-0.25
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,answer_adjacent,union_mask,1.0,,96,96,,,,-0.291015625,-0.4381510416666667,-0.15104166666666666,0.2916666666666667,-0.21875
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,top_hidden_delta,answer_mask,1.0,,96,96,,,,0.12174479166666667,-0.04296875,0.302734375,0.4895833333333333,0.13541666666666666
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,top_hidden_delta,shifted_mask,1.0,,96,96,,,,0.08854166666666667,-0.029947916666666668,0.21028645833333334,0.5625,-0.15625
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,top_hidden_delta,shuffled_mask,1.0,,96,96,,,,0.007161458333333333,-0.12109375,0.14453125,0.4583333333333333,-0.07291666666666667
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,top_hidden_delta,union_mask,1.0,,96,96,,,,0.09635416666666667,-0.026041666666666668,0.22591145833333334,0.5520833333333334,-0.010416666666666666
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,visual+answer,answer_mask,1.0,,96,96,,,,3.6486002604166665,2.9207356770833335,4.338541666666667,0.8645833333333334,911.4895833333334
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,visual+answer,shifted_mask,1.0,,96,96,,,,1.3470052083333333,0.8697916666666666,1.8238932291666667,0.6145833333333334,41.895833333333336
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,visual+answer,shuffled_mask,1.0,,96,96,,,,1.34765625,0.9075520833333334,1.7841796875,0.6354166666666666,26.229166666666668
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,visual+answer,union_mask,1.0,,96,96,,,,3.3387552897135415,2.6793416341145835,4.006561279296875,0.8541666666666666,595.4895833333334
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,visual_span,answer_mask,1.0,,96,96,,,,3.8704427083333335,3.156005859375,4.573079427083333,0.8958333333333334,1017.3645833333334
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,visual_span,shifted_mask,1.0,,96,96,,,,1.615234375,1.1705729166666667,2.0823567708333335,0.6875,45.322916666666664
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,visual_span,shuffled_mask,1.0,,96,96,,,,1.5872395833333333,1.1656901041666667,2.0087890625,0.7395833333333334,29.3125
hidden_lattice,hidden_target_logit_effect,primary,10,corrupt,visual_span,union_mask,1.0,,96,96,,,,3.6080729166666665,2.9529215494791665,4.280354817708333,0.8958333333333334,706.9895833333334
hidden_lattice,hidden_target_logit_effect,primary,10,restore,answer_adjacent,answer_mask,1.0,,96,96,,,,-0.13525390625,-0.2633463541666667,-0.005615234375,0.375,-26.416666666666668
hidden_lattice,hidden_target_logit_effect,primary,10,restore,answer_adjacent,shifted_mask,1.0,,96,96,,,,-0.20247395833333334,-0.3414713541666667,-0.07194010416666667,0.3229166666666667,-2.1875
hidden_lattice,hidden_target_logit_effect,primary,10,restore,answer_adjacent,shuffled_mask,1.0,,96,96,,,,-0.22037760416666666,-0.341796875,-0.10026041666666667,0.23958333333333334,-3.0208333333333335
hidden_lattice,hidden_target_logit_effect,primary,10,restore,answer_adjacent,union_mask,1.0,,96,96,,,,-0.24465433756510416,-0.4033660888671875,-0.09002685546875,0.3229166666666667,-112.3125
hidden_lattice,hidden_target_logit_effect,primary,10,restore,top_hidden_delta,answer_mask,1.0,,96,96,,,,3.1961669921875,2.5437418619791665,3.8283284505208335,0.8645833333333334,897.7083333333334
hidden_lattice,hidden_target_logit_effect,primary,10,restore,top_hidden_delta,shifted_mask,1.0,,96,96,,,,0.8206380208333334,0.4892578125,1.2115885416666667,0.6041666666666666,26.5
hidden_lattice,hidden_target_logit_effect,primary,10,restore,top_hidden_delta,shuffled_mask,1.0,,96,96,,,,0.8014322916666666,0.4482421875,1.1949869791666667,0.59375,36.947916666666664
hidden_lattice,hidden_target_logit_effect,primary,10,restore,top_hidden_delta,union_mask,1.0,,96,96,,,,2.565460205078125,1.9772135416666667,3.1520792643229165,0.8645833333333334,518.375
hidden_lattice,hidden_target_logit_effect,primary,10,restore,visual+answer,answer_mask,1.0,,96,96,,,,3.9930419921875,3.2529296875,4.736328125,0.8645833333333334,904.1354166666666
hidden_lattice,hidden_target_logit_effect,primary,10,restore,visual+answer,shifted_mask,1.0,,96,96,,,,1.5458984375,1.0406901041666667,2.0341796875,0.6458333333333334,40.010416666666664
hidden_lattice,hidden_target_logit_effect,primary,10,restore,visual+answer,shuffled_mask,1.0,,96,96,,,,1.4664713541666667,1.0113932291666667,1.9459635416666667,0.6666666666666666,39.166666666666664
hidden_lattice,hidden_target_logit_effect,primary,10,restore,visual+answer,union_mask,1.0,,96,96,,,,3.7523091634114585,3.0257466634114585,4.447296142578125,0.8854166666666666,567.0833333333334
hidden_lattice,hidden_target_logit_effect,primary,10,restore,visual_span,answer_mask,1.0,,96,96,,,,4.267130533854167,3.5348307291666665,4.969970703125,0.875,904.1458333333334
hidden_lattice,hidden_target_logit_effect,primary,10,restore,visual_span,shifted_mask,1.0,,96,96,,,,1.8531901041666667,1.4033203125,2.3167317708333335,0.7708333333333334,39.989583333333336
hidden_lattice,hidden_target_logit_effect,primary,10,restore,visual_span,shuffled_mask,1.0,,96,96,,,,1.7457682291666667,1.2858072916666667,2.2229817708333335,0.7395833333333334,39.260416666666664
hidden_lattice,hidden_target_logit_effect,primary,10,restore,visual_span,union_mask,1.0,,96,96,,,,4.105824788411458,3.3929341634114585,4.775156656901042,0.8958333333333334,567.2291666666666
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,answer_adjacent,answer_mask,1.0,,96,96,,,,-0.2578125,-0.4166666666666667,-0.09895833333333333,0.2916666666666667,-0.14583333333333334
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,answer_adjacent,shifted_mask,1.0,,96,96,,,,-0.34765625,-0.5013020833333334,-0.20572916666666666,0.22916666666666666,-0.09375
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,answer_adjacent,shuffled_mask,1.0,,96,96,,,,-0.3014322916666667,-0.4544270833333333,-0.14713541666666666,0.3125,-0.22916666666666666
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,answer_adjacent,union_mask,1.0,,96,96,,,,-0.31640625,-0.4778645833333333,-0.15494791666666666,0.28125,-0.20833333333333334
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,top_hidden_delta,answer_mask,1.0,,96,96,,,,0.17252604166666666,0.009765625,0.3665364583333333,0.5416666666666666,0.1875
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,top_hidden_delta,shifted_mask,1.0,,96,96,,,,0.048828125,-0.064453125,0.169921875,0.4270833333333333,-0.11458333333333333
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,top_hidden_delta,shuffled_mask,1.0,,96,96,,,,-0.04296875,-0.14778645833333334,0.055338541666666664,0.4270833333333333,-0.052083333333333336
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,top_hidden_delta,union_mask,1.0,,96,96,,,,0.091796875,-0.0390625,0.21354166666666666,0.53125,-0.03125
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,visual+answer,answer_mask,1.0,,96,96,,,,3.4654947916666665,2.7496744791666665,4.167032877604167,0.8541666666666666,771.2395833333334
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,visual+answer,shifted_mask,1.0,,96,96,,,,1.2594401041666667,0.7998046875,1.740234375,0.59375,35.458333333333336
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,visual+answer,shuffled_mask,1.0,,96,96,,,,1.2744140625,0.8362630208333334,1.7109375,0.6458333333333334,24.791666666666668
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,visual+answer,union_mask,1.0,,96,96,,,,3.1258036295572915,2.4586588541666665,3.804168701171875,0.8645833333333334,554.3333333333334
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,visual_span,answer_mask,1.0,,96,96,,,,3.6916097005208335,2.9837239583333335,4.397745768229167,0.8958333333333334,778.3020833333334
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,visual_span,shifted_mask,1.0,,96,96,,,,1.5791015625,1.1526692708333333,2.0309244791666665,0.71875,42.21875
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,visual_span,shuffled_mask,1.0,,96,96,,,,1.5520833333333333,1.1266276041666667,1.9853515625,0.78125,30.46875
hidden_lattice,hidden_target_logit_effect,primary,11,corrupt,visual_span,union_mask,1.0,,96,96,,,,3.409856160481771,2.7730560302734375,4.068440755208333,0.8854166666666666,581.2291666666666
hidden_lattice,hidden_target_logit_effect,primary,11,restore,answer_adjacent,answer_mask,1.0,,96,96,,,,-0.10182698567708333,-0.22054036458333334,0.0250244140625,0.4166666666666667,-20.270833333333332
hidden_lattice,hidden_target_logit_effect,primary,11,restore,answer_adjacent,shifted_mask,1.0,,96,96,,,,-0.205078125,-0.3414713541666667,-0.06673177083333333,0.34375,-3.0
hidden_lattice,hidden_target_logit_effect,primary,11,restore,answer_adjacent,shuffled_mask,1.0,,96,96,,,,-0.17447916666666666,-0.310546875,-0.043294270833333336,0.3020833333333333,-3.1979166666666665
hidden_lattice,hidden_target_logit_effect,primary,11,restore,answer_adjacent,union_mask,1.0,,96,96,,,,-0.2728729248046875,-0.4231974283854167,-0.12131245930989583,0.3333333333333333,-130.27083333333334
hidden_lattice,hidden_target_logit_effect,primary,11,restore,top_hidden_delta,answer_mask,1.0,,96,96,,,,2.9686279296875,2.32568359375,3.5901692708333335,0.8541666666666666,891.1354166666666
hidden_lattice,hidden_target_logit_effect,primary,11,restore,top_hidden_delta,shifted_mask,1.0,,96,96,,,,0.8209635416666666,0.4967447916666667,1.1891276041666667,0.6666666666666666,25.5
hidden_lattice,hidden_target_logit_effect,primary,11,restore,top_hidden_delta,shuffled_mask,1.0,,96,96,,,,0.6393229166666666,0.3082682291666667,1.0126953125,0.5416666666666666,37.072916666666664
hidden_lattice,hidden_target_logit_effect,primary,11,restore,top_hidden_delta,union_mask,1.0,,96,96,,,,2.4300435384114585,1.8600565592447917,2.982421875,0.8645833333333334,542.4479166666666
hidden_lattice,hidden_target_logit_effect,primary,11,restore,visual+answer,answer_mask,1.0,,96,96,,,,3.9240315755208335,3.1861165364583335,4.66748046875,0.8645833333333334,903.6666666666666
hidden_lattice,hidden_target_logit_effect,primary,11,restore,visual+answer,shifted_mask,1.0,,96,96,,,,1.4912109375,1.001953125,1.9847005208333333,0.6354166666666666,40.052083333333336
hidden_lattice,hidden_target_logit_effect,primary,11,restore,visual+answer,shuffled_mask,1.0,,96,96,,,,1.4137369791666667,0.9446614583333334,1.9140625,0.6458333333333334,39.270833333333336
hidden_lattice,hidden_target_logit_effect,primary,11,restore,visual+answer,union_mask,1.0,,96,96,,,,3.6234029134114585,2.9072265625,4.320078531901042,0.8541666666666666,566.8020833333334
hidden_lattice,hidden_target_logit_effect,primary,11,restore,visual_span,answer_mask,1.0,,96,96,,,,4.1942138671875,3.4673665364583335,4.895833333333333,0.8854166666666666,903.7916666666666
hidden_lattice,hidden_target_logit_effect,primary,11,restore,visual_span,shifted_mask,1.0,,96,96,,,,1.8955078125,1.4228515625,2.3717447916666665,0.7708333333333334,40.041666666666664
hidden_lattice,hidden_target_logit_effect,primary,11,restore,visual_span,shuffled_mask,1.0,,96,96,,,,1.6975911458333333,1.2249348958333333,2.1764322916666665,0.7395833333333334,39.28125
hidden_lattice,hidden_target_logit_effect,primary,11,restore,visual_span,union_mask,1.0,,96,96,,,,3.961944580078125,3.2552083333333335,4.623728434244792,0.90625,566.9895833333334
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,answer_adjacent,answer_mask,1.0,,96,96,,,,-0.3040364583333333,-0.4505208333333333,-0.15494791666666666,0.2708333333333333,-0.19791666666666666
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,answer_adjacent,shifted_mask,1.0,,96,96,,,,-0.33203125,-0.4713541666666667,-0.19010416666666666,0.28125,-0.14583333333333334
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,answer_adjacent,shuffled_mask,1.0,,96,96,,,,-0.2962239583333333,-0.4453125,-0.13736979166666666,0.2708333333333333,-0.23958333333333334
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,answer_adjacent,union_mask,1.0,,96,96,,,,-0.33203125,-0.4928385416666667,-0.17317708333333334,0.2916666666666667,-0.15625
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,top_hidden_delta,answer_mask,1.0,,96,96,,,,0.11393229166666667,-0.05859375,0.3118489583333333,0.4375,0.14583333333333334
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,top_hidden_delta,shifted_mask,1.0,,96,96,,,,0.001953125,-0.111328125,0.119140625,0.4479166666666667,-0.041666666666666664
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,top_hidden_delta,shuffled_mask,1.0,,96,96,,,,0.015625,-0.10026041666666667,0.14388020833333334,0.4479166666666667,-0.09375
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,top_hidden_delta,union_mask,1.0,,96,96,,,,0.07942708333333333,-0.053385416666666664,0.22200520833333334,0.4895833333333333,-0.03125
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,visual+answer,answer_mask,1.0,,96,96,,,,3.2707621256510415,2.5771484375,3.9523722330729165,0.84375,454.2395833333333
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,visual+answer,shifted_mask,1.0,,96,96,,,,1.2913411458333333,0.845703125,1.7213541666666667,0.625,32.354166666666664
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,visual+answer,shuffled_mask,1.0,,96,96,,,,1.2141927083333333,0.7952473958333334,1.6272786458333333,0.65625,25.5
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,visual+answer,union_mask,1.0,,96,96,,,,2.9428812662760415,2.264739990234375,3.6080830891927085,0.8229166666666666,335.3854166666667
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,visual_span,answer_mask,1.0,,96,96,,,,3.5458170572916665,2.84698486328125,4.2420654296875,0.8958333333333334,504.3229166666667
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,visual_span,shifted_mask,1.0,,96,96,,,,1.5494791666666667,1.1204427083333333,2.005859375,0.7083333333333334,34.385416666666664
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,visual_span,shuffled_mask,1.0,,96,96,,,,1.4069010416666667,0.9892578125,1.8326822916666667,0.7083333333333334,27.697916666666668
hidden_lattice,hidden_target_logit_effect,primary,12,corrupt,visual_span,union_mask,1.0,,96,96,,,,3.183537801106771,2.519434611002604,3.8581136067708335,0.8958333333333334,414.2916666666667
hidden_lattice,hidden_target_logit_effect,primary,12,restore,answer_adjacent,answer_mask,1.0,,96,96,,,,-0.11580403645833333,-0.23527018229166666,0.004150390625,0.4166666666666667,-98.54166666666667
